4	6	0
16	6	0
50	6	0
74	6	0
110	6	0
138	6	1
162	6	1
181	6	1
207	6	1
234	6	1
265	6	1
290	6	1
309	6	1
346	6	0
363	6	0
381	6	0
408	7	0
430	6	0
456	6	0
479	6	0
500	6	0
516	6	0
539	6	0
562	6	0
579	6	0
602	6	0
626	6	0
644	6	0
661	6	0
686	6	0
701	6	0
727	6	0
754	6	0
781	15	1
815	12	1
838	12	1
863	12	1
891	6	1
920	6	1
948	6	1
973	6	0
1002	6	0
1026	6	0
4	30	0
16	30	0
50	30	0
74	30	0
110	30	0
138	30	0
162	30	1
181	30	1
207	30	1
234	30	1
265	30	1
290	30	1
309	30	1
346	30	1
363	30	1
381	30	1
407	30	1
430	30	0
456	30	0
480	29	0
499	30	0
516	30	0
539	30	0
562	30	0
579	30	0
602	30	0
626	30	0
644	30	0
661	30	0
686	30	0
701	30	0
731	38	0
755	36	0
779	39	0
810	39	0
838	43	0
861	43	0
903	43	1
919	43	1
945	43	1
975	41	1
999	37	1
1024	35	1
4	74	1
16	74	1
50	74	1
74	74	1
110	74	0
138	74	0
162	74	0
181	74	0
207	74	0
234	74	0
265	74	0
290	74	0
309	74	0
346	74	0
363	74	0
381	74	0
409	66	1
429	61	1
449	58	1
469	56	1
498	55	1
522	51	1
517	83	1
544	79	1
571	77	1
602	74	1
626	74	1
644	74	1
661	74	0
686	74	0
701	74	0
727	74	0
754	74	0
778	74	0
809	74	0
835	74	0
858	74	0
891	74	0
920	74	0
948	74	0
973	74	0
997	74	0
1026	74	1
4	110	1
16	110	1
50	110	1
74	110	1
110	110	1
138	110	1
162	110	1
181	110	0
208	107	0
234	110	0
265	110	0
290	110	0
309	110	0
346	110	0
363	110	0
381	110	0
407	110	0
430	110	0
456	110	0
479	110	0
500	110	0
516	110	0
539	110	0
562	110	0
579	110	0
602	110	1
626	110	1
644	110	1
661	110	1
686	110	1
701	110	1
727	110	1
754	110	0
778	110	0
809	110	0
835	110	0
858	110	0
891	110	0
920	110	0
948	110	0
973	110	0
1002	110	0
1026	110	0
4	139	0
16	139	0
50	139	0
74	139	1
110	139	1
138	139	1
164	131	1
184	131	1
202	133	1
235	131	1
265	139	0
290	139	0
311	136	0
346	139	0
363	139	0
381	139	0
407	139	0
430	139	0
456	139	0
479	139	0
500	139	0
516	139	0
539	139	0
562	139	0
579	139	0
602	139	0
626	139	0
644	139	0
664	140	0
686	139	0
701	139	0
727	139	1
754	139	1
778	139	1
809	139	1
835	139	1
858	139	1
891	139	1
920	139	0
948	139	0
973	139	0
1002	139	0
1026	139	0
4	167	0
16	167	0
50	167	0
74	167	0
110	167	0
138	167	0
162	167	0
181	167	0
207	167	0
234	167	1
265	167	1
290	167	1
309	167	1
346	167	1
363	167	1
381	167	1
409	161	0
435	164	0
456	167	0
479	167	0
500	167	0
516	167	0
539	167	0
562	167	0
579	167	0
602	167	0
626	167	0
644	167	0
661	167	0
686	167	0
701	167	0
731	170	0
754	167	0
778	167	0
809	167	0
835	167	1
858	167	1
891	167	1
920	167	1
948	167	1
973	167	1
1002	167	1
1026	167	0
4	200	1
16	200	1
50	200	0
74	200	0
110	200	0
138	200	0
162	200	0
181	200	0
207	200	0
234	200	0
265	200	0
290	200	0
309	200	0
346	200	1
363	200	1
381	200	1
407	200	1
430	200	1
456	200	1
479	200	1
500	200	0
516	200	0
539	200	0
562	200	0
579	200	0
602	200	0
626	200	0
644	200	0
661	200	0
686	200	0
701	200	0
727	200	0
754	200	0
778	200	0
809	200	0
835	200	0
858	200	0
891	200	0
927	201	1
948	200	1
973	200	1
1002	200	1
1026	200	1
4	237	1
16	237	1
50	237	1
74	237	1
110	237	1
138	237	1
162	237	0
181	237	0
207	237	0
234	237	0
265	237	0
290	237	0
309	237	0
346	237	0
363	237	0
381	237	0
407	237	0
430	237	1
456	237	1
479	237	1
500	237	1
